src/core/api/hooks/use-api-with-fallback.ts(14,50): error TS2307: Cannot find module '../types/request' or its corresponding type declarations.
src/features/users/ui/auth/useLoginForm.ts(6,34): error TS2307: Cannot find module '@client/lib/utils/password-validation' or its corresponding type declarations.
src/lib/config/api.ts(9,30): error TS2307: Cannot find module '../core/api/config' or its corresponding type declarations.
src/lib/config/index.ts(3,15): error TS2307: Cannot find module '../lib/config/navigation' or its corresponding type declarations.
src/lib/contexts/NavigationContext.tsx(7,15): error TS2307: Cannot find module '../core/navigation/context' or its corresponding type declarations.
src/lib/contexts/NavigationContext.tsx(8,15): error TS2307: Cannot find module '../core/navigation/types' or its corresponding type declarations.
src/lib/contexts/NavigationContext.tsx(12,42): error TS2307: Cannot find module '../core/navigation/context' or its corresponding type declarations.
src/lib/design-system/interactive/Sidebar.tsx(26,74): error TS2307: Cannot find module './tooltip' or its corresponding type declarations.
src/lib/examples/render-tracking-usage.tsx(17,8): error TS2307: Cannot find module '../features/analytics/hooks/use-render-tracker' or its corresponding type declarations.
src/lib/examples/WebSocketIntegrationExample.tsx(8,30): error TS2307: Cannot find module '@client/lib/hooks/use-websocket' or its corresponding type declarations.
src/lib/hooks/mobile/usePullToRefresh.ts(34,32): error TS2307: Cannot find module '@client/config/gestures' or its corresponding type declarations.
src/lib/hooks/use-architecture-performance.ts(9,48): error TS2307: Cannot find module '../core/performance/architecture-performance-monitor' or its corresponding type declarations.
src/lib/hooks/use-performance-monitor.ts(213,41): error TS2307: Cannot find module '../../../PerformanceDashboard' or its corresponding type declarations.
src/lib/hooks/use-performance-monitor.ts(337,22): error TS2307: Cannot find module '../../../PerformanceDashboard' or its corresponding type declarations.
src/lib/hooks/use-performance-monitor.ts(361,14): error TS2307: Cannot find module '../../../PerformanceDashboard' or its corresponding type declarations.
src/lib/hooks/useMockData.ts(8,29): error TS2307: Cannot find module '@client/data/mock/loaders' or its corresponding type declarations.
src/lib/hooks/useOfflineCapabilities.ts(1,39): error TS2307: Cannot find module '@client/lib/utils/backgroundSyncManager' or its corresponding type declarations.
src/lib/hooks/useOfflineCapabilities.ts(2,35): error TS2307: Cannot find module '@client/lib/utils/cacheInvalidation' or its corresponding type declarations.
src/lib/hooks/useOfflineCapabilities.ts(3,34): error TS2307: Cannot find module '@client/lib/utils/offlineAnalytics' or its corresponding type declarations.
src/lib/hooks/useOfflineCapabilities.ts(4,36): error TS2307: Cannot find module '@client/lib/utils/offlineDataManager' or its corresponding type declarations.
src/lib/hooks/useOfflineCapabilities.ts(5,52): error TS2307: Cannot find module '@client/lib/utils/serviceWorker' or its corresponding type declarations.
src/lib/index.ts(69,8): error TS2307: Cannot find module './lib' or its corresponding type declarations.
src/lib/infrastructure/store/middleware/authMiddleware.ts(6,33): error TS2307: Cannot find module '@client/utils/security' or its corresponding type declarations.
src/lib/services/services-monitoring.ts(8,43): error TS2307: Cannot find module './lib/infrastructure/monitoring/cross-system-error-analytics' or its corresponding type declarations.
src/lib/services/services-monitoring.ts(9,41): error TS2307: Cannot find module './lib/infrastructure/monitoring/error-aggregation-service' or its corresponding type declarations.
src/lib/services/services-monitoring.ts(21,8): error TS2307: Cannot find module './lib/infrastructure/monitoring/unified-error-monitoring-interface' or its corresponding type declarations.
src/lib/ui/i18n/LanguageSwitcher.tsx(23,40): error TS2307: Cannot find module '../../../utils/i18n' or its corresponding type declarations.
src/lib/ui/integration/IntegrationProvider.tsx(8,41): error TS2307: Cannot find module '@client/services/privacyAnalyticsService' or its corresponding type declarations.
src/lib/ui/integration/IntegrationProvider.tsx(9,77): error TS2307: Cannot find module '@client/utils/security' or its corresponding type declarations.
src/lib/ui/integration/types.ts(6,46): error TS2307: Cannot find module '@client/services/privacyAnalyticsService' or its corresponding type declarations.
src/lib/ui/integration/types.ts(7,82): error TS2307: Cannot find module '@client/utils/security' or its corresponding type declarations.
src/lib/ui/mobile/interaction/PullToRefresh.tsx(6,32): error TS2307: Cannot find module '@client/config/gestures' or its corresponding type declarations.
src/lib/ui/mobile/interaction/SwipeGestures.tsx(6,32): error TS2307: Cannot find module '@client/config/gestures' or its corresponding type declarations.
src/lib/ui/mobile/layout/MobileLayout.tsx(7,37): error TS2307: Cannot find module '@client/config/navigation' or its corresponding type declarations.
src/lib/ui/mobile/MobileNavigation.tsx(8,37): error TS2307: Cannot find module '@client/config' or its corresponding type declarations.
src/lib/ui/mobile/MobileNavigation.tsx(14,25): error TS2307: Cannot find module '@client/hooks' or its corresponding type declarations.
src/lib/ui/notifications/NotificationItem.tsx(7,48): error TS2307: Cannot find module '@client/services/notification-service' or its corresponding type declarations.
src/scripts/fsd-migration.ts(8,24): error TS2307: Cannot find module '../utils/logger' or its corresponding type declarations.
